Namespace(dataset='retailrocket', epoch=30, batchSize=100, embSize=100, l2=1e-05, lr=0.001, layer=2, beta=0.005, lam=0.005, eps=0.2)
/content/test_all/nhom2/COTREC/util.py:64: RuntimeWarning: divide by zero encountered in divide
  self.adjacency = adj.multiply(1.0/adj.sum(axis=0).reshape(1, -1))
/content/test_all/nhom2/COTREC/model.py:118: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  self.adv_item = torch.cuda.FloatTensor(self.n_node, self.emb_size).fill_(0).requires_grad_(True)
-------------------------------------------------------
epoch:  0
start training:  2026-06-14 00:39:36.632669
/content/test_all/nhom2/COTREC/model.py:45: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:654.)
  adjacency = torch.sparse.FloatTensor(i, v, torch.Size(shape))
[450/7963] train loss: 5.0082
[500/7963] train loss: 4.7349
[550/7963] train loss: 4.7317
[600/7963] train loss: 4.7894
[650/7963] train loss: 4.7486
[700/7963] train loss: 5.3788
[750/7963] train loss: 4.4078
[800/7963] train loss: 5.1149
[850/7963] train loss: 5.0580
[900/7963] train loss: 5.1245
[950/7963] train loss: 5.3511
[1000/7963] train loss: 5.3792
[1050/7963] train loss: 4.9540
[1100/7963] train loss: 5.1228
[1150/7963] train loss: 5.2283
[1200/7963] train loss: 5.0550
[1250/7963] train loss: 5.2383
[1300/7963] train loss: 5.2857
[1350/7963] train loss: 4.7856
[1400/7963] train loss: 4.9909
[1450/7963] train loss: 4.7813
[1500/7963] train loss: 5.0647
[1550/7963] train loss: 4.8528
[1600/7963] train loss: 5.0046
[1650/7963] train loss: 5.0170
[1700/7963] train loss: 5.0527
[1750/7963] train loss: 5.1889
[1800/7963] train loss: 4.7656
[1850/7963] train loss: 4.7375
[1900/7963] train loss: 5.5621
[1950/7963] train loss: 5.4101
[2000/7963] train loss: 4.7764
[2050/7963] train loss: 5.0832
[2100/7963] train loss: 4.6902
[2150/7963] train loss: 4.9327
[2200/7963] train loss: 5.0167
[2250/7963] train loss: 5.6271
[2300/7963] train loss: 4.7797
[2350/7963] train loss: 5.3472
[2400/7963] train loss: 5.0582
[2450/7963] train loss: 5.1940
[2500/7963] train loss: 5.4705
[2550/7963] train loss: 5.2096
[2600/7963] train loss: 4.9824
[2650/7963] train loss: 4.8337
[2700/7963] train loss: 4.9096
[2750/7963] train loss: 5.3211
[2800/7963] train loss: 4.9219
[2850/7963] train loss: 5.1883
[2900/7963] train loss: 5.1628
[2950/7963] train loss: 5.2097
[3000/7963] train loss: 5.3774
[3050/7963] train loss: 5.2989
[3100/7963] train loss: 4.9532
[3150/7963] train loss: 4.5885
[3200/7963] train loss: 5.4621
[3250/7963] train loss: 4.8398
[3300/7963] train loss: 4.7802
[3350/7963] train loss: 5.0058
[3400/7963] train loss: 5.0603
[3450/7963] train loss: 5.2790
[3500/7963] train loss: 5.4113
[3550/7963] train loss: 5.4505
[3600/7963] train loss: 5.1044
[3650/7963] train loss: 5.1144
[3700/7963] train loss: 5.0522
[3750/7963] train loss: 5.7500
[3800/7963] train loss: 5.1792
[3850/7963] train loss: 5.0705
[3900/7963] train loss: 5.1264
[3950/7963] train loss: 5.5758
[4000/7963] train loss: 5.1471
[4050/7963] train loss: 5.0775
[4100/7963] train loss: 5.1412
[4150/7963] train loss: 4.7757
[4200/7963] train loss: 5.3778
[4250/7963] train loss: 4.8667
[4300/7963] train loss: 5.1247
[4350/7963] train loss: 4.9986
[4400/7963] train loss: 5.2926
[4450/7963] train loss: 5.4436
[4500/7963] train loss: 5.2963
[4550/7963] train loss: 5.3706
[4600/7963] train loss: 5.2073
[4650/7963] train loss: 4.9252
[4700/7963] train loss: 5.0113
[4750/7963] train loss: 4.9420
[4800/7963] train loss: 4.8833
[4850/7963] train loss: 5.2291
[4900/7963] train loss: 5.2264
[4950/7963] train loss: 5.6806
[5000/7963] train loss: 4.5829
[5050/7963] train loss: 4.8849
[5100/7963] train loss: 5.6850
[5150/7963] train loss: 5.1180
[5200/7963] train loss: 5.4252
[5250/7963] train loss: 5.2924
[5300/7963] train loss: 5.2987
[5350/7963] train loss: 5.0711
[5400/7963] train loss: 5.4543
[5450/7963] train loss: 5.0310
[5500/7963] train loss: 5.2757
[5550/7963] train loss: 5.6134
[5600/7963] train loss: 5.0890
[5650/7963] train loss: 5.1403
[5700/7963] train loss: 5.3126
[5750/7963] train loss: 5.4198
[5800/7963] train loss: 5.2473
[5850/7963] train loss: 5.4964
[5900/7963] train loss: 5.0090
[5950/7963] train loss: 4.9135
[6000/7963] train loss: 5.5222
[6050/7963] train loss: 5.8703
[6100/7963] train loss: 5.0598
[6150/7963] train loss: 5.0202
[6200/7963] train loss: 5.0678
[6250/7963] train loss: 5.6080
[6300/7963] train loss: 5.2786
[6350/7963] train loss: 5.1661
[6400/7963] train loss: 5.2056
[6450/7963] train loss: 4.6946
[6500/7963] train loss: 4.8491
[6550/7963] train loss: 5.4608
[6600/7963] train loss: 5.2001
[6650/7963] train loss: 5.2514
[6700/7963] train loss: 4.9715
[6750/7963] train loss: 5.6342
[6800/7963] train loss: 5.4425
[6850/7963] train loss: 5.1328
[6900/7963] train loss: 5.1128
[6950/7963] train loss: 4.8129
[7000/7963] train loss: 4.9456
[7050/7963] train loss: 4.8851
[7100/7963] train loss: 5.1645
[7150/7963] train loss: 5.2469
[7200/7963] train loss: 4.9205
[7250/7963] train loss: 5.4561
[7300/7963] train loss: 5.2699
[7350/7963] train loss: 5.1409
[7400/7963] train loss: 5.3167
[7450/7963] train loss: 4.6446
[7500/7963] train loss: 5.3589
[7550/7963] train loss: 5.0162
[7600/7963] train loss: 4.5278
[7650/7963] train loss: 5.2871
[7700/7963] train loss: 5.0782
[7750/7963] train loss: 4.9220
[7800/7963] train loss: 5.4646
[7850/7963] train loss: 5.3469
